dataset,controller,headroom_bin,L_bin,mean_drift,mean_delta_sq,negative_drift_rate,negative_delta_sq_rate,benchmark_safe_rate,rows
smith,rsrc,<=0,<=0.5,0.08866826824263124,0.06305383212815095,0.42748091603053434,0.08396946564885496,0.10687022900763359,131
smith,rsrc,<=0,"(0.5,1]",-0.04446518524333237,-0.03935609703192761,0.6666666666666666,0.6666666666666666,0.0,12
smith,rsrc,"(0,0.03]",<=0.5,-0.19593321147623755,-0.017796291487613133,1.0,0.4,0.15,20
smith,rsrc,"(0,0.03]","(0.5,1]",-0.215019278809177,-0.2505259167946282,1.0,1.0,0.2,5
smith,rsrc,"(0.03,0.08]",<=0.5,-0.22290154033493279,-0.0256757038953058,1.0,0.3472222222222222,0.25,72
smith,rsrc,"(0.03,0.08]","(0.5,1]",-0.27392882930233997,-0.2628714065626886,1.0,1.0,0.4,5
smith,rsrc,"(0.08,0.15]",<=0.5,-0.26009135093230973,-0.00912616331510939,1.0,0.224,0.232,125
smith,rsrc,"(0.08,0.15]","(0.5,1]",-0.23981343488441395,-0.23153960071675014,1.0,1.0,0.0,3
smith,rsrc,>0.15,<=0.5,-0.3023571516528593,-0.00447416541102346,1.0,0.18110236220472442,0.41732283464566927,127
smith,rsrc_no_context,<=0,<=0.5,0.08866826824263124,0.06305383212815095,0.42748091603053434,0.08396946564885496,0.10687022900763359,131
smith,rsrc_no_context,<=0,"(0.5,1]",-0.04446518524333237,-0.03935609703192761,0.6666666666666666,0.6666666666666666,0.0,12
smith,rsrc_no_context,"(0,0.03]",<=0.5,-0.19593321147623755,-0.017796291487613133,1.0,0.4,0.15,20
smith,rsrc_no_context,"(0,0.03]","(0.5,1]",-0.215019278809177,-0.2505259167946282,1.0,1.0,0.2,5
smith,rsrc_no_context,"(0.03,0.08]",<=0.5,-0.22290154033493279,-0.0256757038953058,1.0,0.3472222222222222,0.25,72
smith,rsrc_no_context,"(0.03,0.08]","(0.5,1]",-0.27392882930233997,-0.2628714065626886,1.0,1.0,0.4,5
smith,rsrc_no_context,"(0.08,0.15]",<=0.5,-0.26009135093230973,-0.00912616331510939,1.0,0.224,0.232,125
smith,rsrc_no_context,"(0.08,0.15]","(0.5,1]",-0.23981343488441395,-0.23153960071675014,1.0,1.0,0.0,3
